tf,target,importance,weight
DUSP11,ACLY,0.16043084859848022,-0.16043084859848022
G3BP2,ACLY,0.15987549722194672,0.15987549722194672
EIF4ENIF1,ACO2,0.22212141752243042,0.22212141752243042
EIF3L,ACO2,0.17508234083652496,0.17508234083652496
DUSP11,ACO2,0.11912258714437485,-0.11912258714437485
PLEKHN1,ACOT12,0.1587178111076355,0.1587178111076355
TAOK2,ACOT12,0.13701561093330383,0.13701561093330383
ZNF322,ACOT12,0.10567770898342133,-0.10567770898342133
SLC25A5,ACOT6,0.12408299744129181,0.12408299744129181
MAP4K3,ACOT6,0.10502016544342041,0.10502016544342041
POU2F1,ACOT6,0.09693332761526108,-0.09693332761526108
CCT7,ACOT7,0.18772552907466888,0.18772552907466888
RPL22,ACOT7,0.16285298764705658,0.16285298764705658
PPM1A,ACOT7,0.1531800925731659,-0.1531800925731659
SLC35C2,ACOT8,0.2872657775878906,0.2872657775878906
ATG10,ACOT8,0.10795256495475769,-0.10795256495475769
DDX27,ACOT8,0.09939201921224594,0.09939201921224594
SPATS2L,ACOT9,0.11276451498270035,0.11276451498270035
NOP10,ACOT9,0.1033908873796463,0.1033908873796463
RPL30,ACOT9,0.08749770373106003,-0.08749770373106003
EIF4A3,ACOX1,0.21555697917938232,0.21555697917938232
MKS1,ACOX1,0.11446608603000641,0.11446608603000641
SYF2,ACOX1,0.09735222905874252,-0.09735222905874252
ARFGAP1,ACOX3,0.14845183491706848,0.14845183491706848
HINT1,ACOX3,0.14365148544311523,-0.14365148544311523
DHX15,ACOX3,0.14350709319114685,0.14350709319114685
DNAJB6,ACOXL,0.13775725662708282,0.13775725662708282
TSC22D1,ACOXL,0.11021554470062256,-0.11021554470062256
SRP9,ACOXL,0.10400690138339996,-0.10400690138339996
ZNF408,ACP2,0.20391641557216644,0.20391641557216644
SYMPK,ACP2,0.18318089842796326,0.18318089842796326
CAPN15,ACP2,0.12880495190620422,-0.12880495190620422
PPA1,ACRBP,0.16758251190185547,-0.16758251190185547
DNHD1,ACRBP,0.14518877863883972,0.14518877863883972
FBXO41,ACRBP,0.1214786246418953,0.1214786246418953
PDK2,ACSF2,0.2519241273403168,0.2519241273403168
NBEAL2,ACSF2,0.13668827712535858,0.13668827712535858
CCDC57,ACSF2,0.13664406538009644,0.13664406538009644
HERPUD1,ACSF3,0.1253044158220291,0.1253044158220291
CAPN15,ACSF3,0.11356441676616669,0.11356441676616669
RAB4A,ACSF3,0.10231975466012955,-0.10231975466012955
CIZ1,ACSL6,0.1363779604434967,-0.1363779604434967
POU2F1,ACSL6,0.1175536960363388,0.1175536960363388
ATE1,ACSL6,0.11247728019952774,0.11247728019952774
SEC23B,ACSS1,0.22441889345645905,0.22441889345645905
DDX21,ACSS1,0.12441173940896988,-0.12441173940896988
NBEAL2,ACSS1,0.11650950461626053,0.11650950461626053
ERGIC3,ACSS2,0.27221325039863586,0.27221325039863586
MLXIPL,ACSS2,0.1666041910648346,0.1666041910648346
GGT7,ACSS2,0.15433768928050995,0.15433768928050995
MTMR12,ACSS3,0.22806626558303833,0.22806626558303833
CNIH1,ACSS3,0.13144631683826447,-0.13144631683826447
G3BP2,ACSS3,0.11351218074560165,0.11351218074560165
TPM1,ACTA1,0.22924278676509857,0.22924278676509857
RAB4A,ACTA1,0.16344253718852997,0.16344253718852997
LITAF,ACTA1,0.14063383638858795,0.14063383638858795
IGFBP7,ACTA2,0.41436994075775146,0.41436994075775146
ITGB1,ACTA2,0.3073387145996094,0.3073387145996094
TPM1,ACTA2,0.2042074054479599,0.2042074054479599
TUBA1C,ACTB,0.19938744604587555,0.19938744604587555
RPL26,ACTB,0.11326617002487183,-0.11326617002487183
EIF4G2,ACTB,0.09956144541501999,0.09956144541501999
HNRNPA1L2,ACTG1,0.18623560667037964,0.18623560667037964
TUBA1C,ACTG1,0.10480133444070816,0.10480133444070816
EIF4A3,ACTG1,0.10271400213241577,0.10271400213241577
NDUFB5,ACTL6A,0.5015984177589417,0.5015984177589417
WDR53,ACTL6A,0.1214895248413086,0.1214895248413086
DDX21,ACTL6A,0.11433028429746628,0.11433028429746628
SNX3,ACTL7B,0.17957055568695068,0.17957055568695068
PREP,ACTL7B,0.14158035814762115,0.14158035814762115
RPS5,ACTL7B,0.11767085641622543,-0.11767085641622543
MTMR12,ACTN2,0.17753201723098755,0.17753201723098755
SH3GL1,ACTN2,0.0952400267124176,0.0952400267124176
CKM,ACTN2,0.08026338368654251,0.08026338368654251
HADHB,ACTN3,0.10020514577627182,-0.10020514577627182
OGDH,ACTN3,0.09399537742137909,0.09399537742137909
STAMBP,ACTN3,0.09075559675693512,0.09075559675693512
CNIH1,ACTR10,0.3190397322177887,0.3190397322177887
