tf,target,weight,importance,interaction,edge_color,edge_width
PLIN5,BLZF1,0.1965579241514206,0.1965579241514206,activation,#00FF00,0.9898274113082972
RPS27A,BLZF1,0.1277507245540619,0.1277507245540619,activation,#00FF00,0.6433277596109193
SPG21,BMF,0.1779613196849823,0.1779613196849823,activation,#00FF00,0.8961785343291194
NBEAL2,BMF,0.17683018743991852,0.17683018743991852,activation,#00FF00,0.8904823727176634
BRK1,BMF,-0.1281154900789261,0.1281154900789261,repression,#FF0000,0.6451646477280968
TFB2M,BMI1,0.19466277956962585,0.19466277956962585,activation,#00FF00,0.980283832419014
VDAC1,BMI1,-0.15604354441165924,0.15604354441165924,repression,#FF0000,0.785804888218991
SPCS1,BMI1,0.11855677515268326,0.11855677515268326,activation,#00FF00,0.5970288216517684
ARFGAP1,BMP1,0.24064143002033234,0.24064143002033234,activation,#00FF00,1.2118233582231834
ITGB1,BMP1,0.2287963479757309,0.2287963479757309,activation,#00FF00,1.1521738327840052
SPATS2L,BMP1,0.15709562599658966,0.15709562599658966,activation,#00FF00,0.7911029661071893
ENTPD5,BMP2K,0.19977806508541107,0.19977806508541107,activation,#00FF00,1.0060434136826621
ITPR1,BMP2K,0.12320023775100708,0.12320023775100708,activation,#00FF00,0.6204123946267507
HERPUD1,BMP2K,0.11748509854078293,0.11748509854078293,activation,#00FF00,0.5916320670253827
GSG1L,BMP3,0.17060045897960663,0.17060045897960663,activation,#00FF00,0.8591106739085437
SYF2,BMP3,-0.10828174650669098,0.10828174650669098,repression,#FF0000,0.545285779239771
SIRT3,BMP3,0.10199160873889923,0.10199160873889923,activation,#00FF00,0.5136098709275247
CNIH1,BMP4,0.3205971419811249,0.3205971419811249,activation,#00FF00,1.6144647461557042
ZNF136,BMP4,0.1185712143778801,0.1185712143778801,activation,#00FF00,0.5971015347767141
CTNNB1,BMP4,0.11111664772033691,0.11111664772033691,activation,#00FF00,0.5595617894374378
ASB16,BMP6,0.2446851283311844,0.2446851283311844,activation,#00FF00,1.2321866350965138
DDX21,BMP6,0.1629459112882614,0.1629459112882614,activation,#00FF00,0.8205638630446715
GPR12,BMP6,0.11378740519285202,0.11378740519285202,activation,#00FF00,0.573011203734342
TUBA1C,BMP7,0.1058376133441925,0.1058376133441925,activation,#00FF00,0.5329776008156597
SPATS2L,BMP7,0.0999148041009903,0.0999148041009903,activation,#00FF00,0.5031514873878672
DTNB,BMP7,0.09643049538135529,0.09643049538135529,activation,#00FF00,0.5
