gene,in_degree,out_degree,total_degree
AGBL2,3,0,3
AGBL4,3,0,3
AGFG1,3,0,3
AGFG2,3,0,3
AGK,3,0,3
AGL,3,0,3
AGO1,3,0,3
AGO2,3,0,3
AGO3,3,0,3
AGO4,3,0,3
AGPAT1,3,0,3
AGPAT2,3,0,3
AGPAT3,3,0,3
AGPAT5,3,0,3
AGPS,3,0,3
AGRN,3,0,3
AGTPBP1,3,0,3
AGTR1,3,0,3
AHCTF1,3,0,3
AHCY,3,0,3
AHCYL1,3,0,3
AHCYL2,3,0,3
AHI1,3,0,3
AHNAK,3,0,3
AHNAK2,3,0,3
AHR,3,0,3
AIDA,3,119,122
AIF1L,3,0,3
AIFM1,3,0,3
AIFM2,3,7,10
AIG1,3,0,3
AIMP2,3,0,3
AIP,3,0,3
AIPL1,3,0,3
AIRE,3,0,3
AJAP1,3,0,3
AJUBA,3,0,3
AK3,3,0,3
AK4,3,0,3
AK5,3,0,3
AK7,3,0,3
AK8,3,0,3
AK9,3,0,3
AKAP10,3,0,3
AKAP3,3,0,3
AKAP5,3,0,3
AKAP8L,3,108,111
AKAP9,3,0,3
AKIP1,3,0,3
AKIRIN2,3,0,3
AKR1A1,3,0,3
AKR1E2,3,0,3
AKR7A2,3,0,3
AKR7A3,3,0,3
AKR7L,3,0,3
AKT1,3,0,3
AKT1S1,3,19,22
AKT2,3,0,3
ALAD,3,0,3
ALAS1,3,0,3
ALDH16A1,3,14,17
ALDH18A1,3,0,3
ALDH1L2,3,0,3
ALDH2,3,0,3
ALDH3A1,3,7,10
ALDH3A2,3,0,3
ALDH5A1,3,0,3
ALDOA,3,0,3
ALDOC,3,0,3
ALG11,3,0,3
ALG12,3,9,12
ALG13,3,0,3
ALG14,3,0,3
ALG2,3,0,3
ALG8,3,0,3
ALKBH1,3,0,3
ALKBH2,3,0,3
ALKBH3,3,0,3
ALKBH4,3,0,3
ALKBH5,3,0,3
ALKBH7,3,0,3
ALKBH8,3,0,3
ALLC,3,0,3
ALOX12P2,3,0,3
ALOXE3,3,0,3
ALPK3,3,0,3
ALPL,3,0,3
ALS2CL,3,0,3
ALX3,3,0,3
ALX4,3,0,3
ALYREF,3,0,3
AMACR,3,0,3
AMBRA1,3,0,3
AMD1,3,0,3
AMDHD1,3,0,3
AMER3,3,0,3
AMFR,3,0,3
AMIGO1,3,0,3
AMIGO2,3,0,3
AMIGO3,3,0,3
AMMECR1,3,0,3
AMMECR1L,3,0,3
AMOT,3,0,3
AMOTL1,3,0,3
AMOTL2,3,0,3
AMPD2,3,0,3
AMZ1,3,0,3
AMZ2,3,0,3
AMZ2P1,3,0,3
ANAPC1,3,0,3
ANAPC10,3,0,3
ANAPC11,3,0,3
ANAPC13,3,0,3
ANAPC15,3,0,3
ANAPC2,3,0,3
ANAPC4,3,0,3
ANAPC5,3,0,3
ANG,3,0,3
ANGEL2,3,0,3
ANGPTL4,3,0,3
ANHX,3,0,3
ANKFY1,3,96,99
ANKH,3,0,3
ANKHD1,3,0,3
ANKHD1-EIF4EBP3,3,0,3
ANKLE2,3,0,3
ANKMY1,3,0,3
ANKMY2,3,0,3
ANKRA2,3,0,3
ANKRD10,3,0,3
ANKRD11,3,0,3
ANKRD12,3,0,3
ANKRD13A,3,0,3
ANKRD13B,3,0,3
ANKRD13C,3,0,3
ANKRD13D,3,3,6
ANKRD16,3,0,3
ANKRD18DP,3,0,3
ANKRD19P,3,0,3
ANKRD2,3,0,3
ANKRD24,3,0,3
ANKRD26P1,3,0,3
ANKRD30A,3,0,3
ANKRD30B,3,0,3
ANKRD30BL,3,0,3
ANKRD31,3,0,3
ANKRD33,3,0,3
ANKRD34C,3,0,3
ANKRD35,3,0,3
ANKRD36BP2,3,0,3
ANKRD37,3,0,3
ANKRD39,3,0,3
ANKRD42,3,0,3
ANKRD44,3,0,3
ANKRD46,3,0,3
ANKRD54,3,0,3
ANKRD6,3,0,3
ANKS1B,3,0,3
ANKS6,3,0,3
ANKZF1,3,0,3
ANLN,3,0,3
ANO10,3,0,3
ANO5,3,0,3
ANO8,3,0,3
ANO9,3,0,3
ANP32B,3,0,3
ANP32E,3,0,3
ANPEP,3,0,3
ANTXR1,3,0,3
ANXA11,3,0,3
ANXA2,3,0,3
ANXA2R,3,0,3
ANXA5,3,0,3
ANXA6,3,0,3
ANXA7,3,0,3
AOX1,3,0,3
AP1G2,3,0,3
AP1M2,3,0,3
AP1S1,3,0,3
AP2A2,3,0,3
AP2B1,3,0,3
AP2S1,3,0,3
AP3B1,3,0,3
AP3M1,3,60,63
AP3M2,3,0,3
AP3S1,3,0,3
AP4E1,3,0,3
AP4M1,3,0,3
AP4S1,3,0,3
AP5B1,3,0,3
AP5S1,3,0,3
AP5Z1,3,0,3
APAF1,3,0,3
APBA1,3,0,3
APBB1,3,0,3
APBB2,3,0,3
APC,3,0,3
APCDD1,3,0,3
APEH,3,0,3
APEX1,3,59,62
APH1B,3,0,3
APIP,3,0,3
APLF,3,0,3
APLN,3,0,3
APLP2,3,0,3
APMAP,3,0,3
APOA1,3,3,6
APOB,3,0,3
APOBEC3D,3,0,3
APOBEC3F,3,0,3
APOBEC3G,3,0,3
APOBR,3,0,3
APOL2,3,51,54
APOLD1,3,0,3
APOM,3,0,3
APOOL,3,0,3
APP,3,105,108
APPBP2,3,0,3
APRT,3,0,3
AQP1,3,0,3
AQP11,3,0,3
AQP2,3,0,3
AQP3,3,0,3
AQP5,3,5,8
AQR,3,0,3
AR,3,0,3
ARAF,3,0,3
ARAP1,3,0,3
ARAP2,3,0,3
ARC,3,0,3
ARCN1,3,0,3
ARF4,3,218,221
ARF5,3,0,3
ARFGAP1,3,127,130
ARFGAP2,3,0,3
ARFGAP3,3,0,3
ARFGEF1,3,0,3
ARFIP1,3,0,3
ARFRP1,3,30,33
ARGFXP2,3,0,3
ARGLU1,3,0,3
ARHGAP10,3,0,3
ARHGAP11B,3,0,3
ARHGAP20,3,0,3
ARHGAP21,3,0,3
ARHGAP22,3,0,3
ARHGAP23,3,0,3
ARHGAP26,3,0,3
ARHGAP33,3,0,3
ARHGAP4,3,0,3
ARHGAP42,3,0,3
ARHGAP5,3,0,3
ARHGAP6,3,0,3
ARHGAP8,3,0,3
ARHGEF1,3,0,3
ARHGEF10,3,0,3
ARHGEF10L,3,0,3
ARHGEF11,3,0,3
ARHGEF12,3,0,3
ARHGEF16,3,0,3
ARHGEF17,3,0,3
ARHGEF2,3,0,3
ARHGEF25,3,0,3
ARHGEF28,3,0,3
ARHGEF3,3,0,3
ARHGEF40,3,0,3
ARHGEF7,3,0,3
ARID1A,3,0,3
ARID1B,3,0,3
ARID2,3,0,3
ARID3A,3,0,3
ARID3B,3,0,3
ARID4A,3,0,3
ARID4B,3,0,3
ARID5A,3,0,3
ARIH1,3,0,3
ARIH2,3,0,3
ARL1,3,0,3
ARL10,3,0,3
ARL14EP,3,0,3
ARL16,3,0,3
ARL2,3,0,3
ARL3,3,0,3
ARL4A,3,0,3
ARL4C,3,0,3
ARL5B,3,0,3
ARL6IP1,3,0,3
ARL8A,3,0,3
ARL9,3,0,3
ARMC10,3,0,3
ARMC2,3,0,3
ARMC4,3,0,3
ARMC5,3,0,3
ARMC6,3,0,3
ARMC8,3,0,3
ARMC9,3,0,3
ARMCX1,3,0,3
ARMCX3,3,0,3
ARMT1,3,0,3
ARNT,3,0,3
ARNT2,3,0,3
ARPC1A,3,0,3
ARPC1B,3,0,3
ARPC2,3,0,3
ARPC3,3,43,46
ARPC4,3,0,3
ARPC5L,3,0,3
ARRB1,3,0,3
ARRDC2,3,0,3
ARRDC3,3,0,3
ARSD,3,0,3
ARSG,3,0,3
ARSJ,3,0,3
ART5,3,0,3
ARV1,3,0,3
ARVCF,3,0,3
ARX,3,0,3
ASAH1,3,0,3
ASAH2B,3,0,3
ASAP1,3,0,3
ASAP2,3,0,3
ASAP3,3,0,3
ASB1,3,0,3
ASB10,3,0,3
ASB13,3,0,3
ASB16,3,59,62
ASB2,3,0,3
ASB6,3,0,3
ASCC1,3,0,3
ASCC3,3,71,74
ASCL1,3,0,3
ASCL2,3,0,3
ASF1A,3,0,3
ASF1B,3,0,3
ASH2L,3,0,3
ASIC1,3,0,3
ASIC2,3,0,3
ASL,3,0,3
ASNS,3,0,3
ASNSD1,3,0,3
ASPM,3,0,3
ASS1,3,0,3
ASTE1,3,0,3
ASTN2,3,0,3
ASXL1,3,0,3
ASXL2,3,0,3
ASXL3,3,0,3
ASZ1,3,0,3
ATAD1,3,0,3
ATAD2,3,0,3
ATAD3A,3,0,3
ATAD3B,3,0,3
ATAD5,3,0,3
ATE1,3,11,14
ATF2,3,0,3
ATF3,3,0,3
ATF4,3,0,3
ATF5,3,0,3
ATF6B,3,0,3
ATF7,3,9,12
ATF7IP2,3,0,3
ATG10,3,55,58
ATG12,3,0,3
ATG16L2,3,42,45
ATG2A,3,0,3
ATG2B,3,0,3
ATG4A,3,0,3
ATG4B,3,0,3
ATG4C,3,0,3
ATG4D,3,0,3
ATG9A,3,0,3
ATL1,3,0,3
ATL2,3,0,3
ATOH1,3,0,3
ATOX1,3,0,3
ATP10A,3,0,3
ATP10D,3,0,3
ATP11A,3,0,3
ATP12A,3,1,4
ATP13A1,3,0,3
ATP13A2,3,0,3
ATP1A1,3,0,3
ATP1A3,3,0,3
ATP1B1,3,0,3
ATP2A1,3,0,3
ATP2A3,3,0,3
ATP2B3,3,0,3
ATP2C1,3,105,108
ATP2C2,3,0,3
ATP4B,3,0,3
ATP5E,3,0,3
ATP5I,3,0,3
ATP6AP2,3,0,3
ATP6V0B,3,0,3
ATP6V0D1,3,0,3
ATP6V0E1,3,153,156
ATP6V0E2,3,0,3
ATP6V1B1,3,0,3
ATP6V1C1,3,0,3
ATP6V1D,3,0,3
ATP6V1E1,3,0,3
ATP6V1H,3,0,3
ATP7A,3,0,3
ATP7B,3,0,3
ATP8A1,3,0,3
ATP8B1,3,0,3
ATP8B3,3,5,8
ATP9A,3,0,3
ATP9B,3,0,3
ATPAF1,3,0,3
ATPAF2,3,0,3
ATRAID,3,0,3
ATRIP,3,0,3
ATRN,3,0,3
ATRNL1,3,0,3
ATXN10,3,0,3
ATXN1L,3,0,3
ATXN2L,3,0,3
ATXN3,3,0,3
ATXN7,3,0,3
ATXN7L1,3,0,3
AUH,3,0,3
AUNIP,3,0,3
AUP1,3,0,3
AURKA,3,0,3
AURKAIP1,3,0,3
AURKB,3,0,3
AVEN,3,0,3
AVPI1,3,0,3
AVPR1B,3,0,3
AXIN2,3,0,3
AXL,3,0,3
AZI2,3,0,3
AZIN2,3,0,3
B3GALNT1,3,0,3
B3GALNT2,3,0,3
B3GALT4,3,0,3
B3GALT5,3,0,3
B3GALT6,3,0,3
B3GAT2,3,0,3
B3GNT2,3,0,3
B3GNT3,3,0,3
B3GNT4,3,0,3
B3GNT7,3,0,3
B3GNTL1,3,0,3
B4GALNT1,3,0,3
B4GALNT2,3,0,3
B4GALNT3,3,0,3
B4GALNT4,3,0,3
B4GALT1,3,0,3
B4GALT2,3,0,3
B4GALT4,3,0,3
B4GALT5,3,0,3
B9D1,3,0,3
BACE1,3,0,3
BACE2,3,0,3
BACH1,3,0,3
BAD,3,0,3
BAG1,3,0,3
BAG3,3,0,3
BAG4,3,0,3
BAG5,3,0,3
BAG6,3,0,3
BAGE,3,0,3
BAGE2,3,0,3
BAGE3,3,0,3
BAGE4,3,0,3
BAHD1,3,0,3
BAIAP2L1,3,0,3
BAIAP2L2,3,0,3
BAIAP3,3,29,32
BAMBI,3,0,3
BANP,3,0,3
BAP1,3,0,3
BARD1,3,0,3
BARHL2,3,0,3
BARX2,3,0,3
BATF2,3,0,3
BATF3,3,0,3
BAZ1B,3,0,3
BAZ2B,3,0,3
BBC3,3,0,3
BBS1,3,0,3
BBS10,3,0,3
BBS12,3,0,3
BBS4,3,0,3
BBS9,3,0,3
BCAM,3,0,3
BCAP29,3,0,3
BCAP31,3,0,3
BCAR1,3,0,3
BCAR3,3,0,3
BCAS3,3,0,3
BCAS4,3,0,3
BCAT2,3,0,3
BCCIP,3,75,78
BCDIN3D,3,0,3
BCKDHB,3,0,3
BCL10,3,0,3
BCL11A,3,0,3
BCL2,3,0,3
BCL2L13,3,0,3
BCL2L2,3,0,3
BCL6,3,0,3
BCL7A,3,0,3
BCL7B,3,0,3
BCLAF1,3,0,3
BCOR,3,0,3
BCR,3,0,3
BDH1,3,0,3
BDKRB2,3,0,3
BDNF,3,0,3
BECN1,3,0,3
BEGAIN,3,0,3
BEND2,3,0,3
BEND3,3,0,3
BEST2,3,0,3
BET1,3,0,3
BET1L,3,0,3
BEX2,3,0,3
BEX4,3,0,3
BEX5,3,0,3
BFAR,3,0,3
BFSP1,3,0,3
BHLHE23,3,0,3
BHLHE40,3,0,3
BHMT2,3,0,3
BICD2,3,0,3
BID,3,0,3
BIN3,3,72,75
BIRC2,3,0,3
BIRC5,3,0,3
BIRC6,3,0,3
BIRC7,3,1,4
BIVM,3,0,3
BLCAP,3,0,3
BLM,3,0,3
BLOC1S1,3,0,3
BLOC1S2,3,0,3
BLOC1S3,3,0,3
BLOC1S4,3,0,3
BLOC1S5,3,0,3
BLOC1S6,3,0,3
BLVRA,3,0,3
BLZF1,3,0,3
BMF,3,0,3
BMI1,3,0,3
BMP1,3,0,3
BMP2K,3,0,3
BMP3,3,24,27
BMP4,3,0,3
BMP6,3,0,3
BMP7,3,7,10
BMP8A,3,0,3
BMP8B,3,0,3
BMPER,3,0,3
BMPR1A,3,0,3
BMPR1B,3,0,3
BMPR2,3,0,3
BMS1,3,0,3
BMS1P4,3,0,3
BNC1,3,0,3
BNC2,3,0,3
BNIP3,3,0,3
BNIP3L,3,0,3
BOD1,3,0,3
BOD1L1,3,0,3
BOK,3,0,3
BOLA1,3,0,3
BOLA3,3,0,3
BOLL,3,0,3
BOP1,3,0,3
BPGM,3,0,3
BPTF,3,0,3
BRAF,3,0,3
BRAP,3,0,3
BRCA1,3,0,3
BRCA2,3,0,3
BRD1,3,0,3
BRD2,3,0,3
BRD3,3,0,3
BRD8,3,0,3
BRD9,3,0,3
BRDT,3,0,3
BREA2,3,0,3
BRF1,3,66,69
BRF2,3,0,3
BRI3,3,0,3
BRI3BP,3,0,3
BRICD5,3,0,3
BRK1,3,53,56
BRMS1,3,0,3
BRMS1L,3,40,43
BROX,3,37,40
BRPF3,3,0,3
BRSK1,3,0,3
BRSK2,3,0,3
BRWD1,3,5,8
BRWD1-IT2,3,0,3
BRWD3,3,0,3
BSDC1,3,0,3
BSG,3,0,3
BSX,3,0,3
BTAF1,3,0,3
BTBD10,3,0,3
BTBD17,3,0,3
BTBD3,3,0,3
BTBD6,3,0,3
BTBD7,3,0,3
BTBD8,3,0,3
BTBD9,3,0,3
BTC,3,0,3
BTD,3,0,3
BTF3,3,0,3
BTG1,3,0,3
BTG2,3,0,3
BTG3,3,0,3
BTG4,3,0,3
BTN1A1,3,0,3
BUB1,3,0,3
BUD13,3,0,3
BUD31,3,0,3
BZW2,3,0,3
C10orf25,3,0,3
C10orf71,3,0,3
C10orf82,3,0,3
C11orf24,3,0,3
C11orf54,3,0,3
C11orf68,3,0,3
C11orf74,3,0,3
C11orf80,3,0,3
C11orf91,3,0,3
C11orf95,3,0,3
C11orf96,3,0,3
C11orf97,3,0,3
C12orf40,3,0,3
C12orf42,3,0,3
C12orf49,3,0,3
C12orf5,3,0,3
C12orf56,3,0,3
C12orf57,3,0,3
C12orf60,3,0,3
C12orf66,3,0,3
C12orf75,3,0,3
C12orf76,3,0,3
C14orf1,3,0,3
C14orf119,3,0,3
C14orf93,3,0,3
C15orf39,3,0,3
C15orf48,3,0,3
C15orf61,3,0,3
C16orf46,3,0,3
C16orf54,3,0,3
C16orf70,3,0,3
C16orf71,3,0,3
C16orf74,3,0,3
C16orf86,3,0,3
C16orf87,3,0,3
C17orf100,3,0,3
C17orf104,3,0,3
C17orf58,3,0,3
C17orf67,3,0,3
C17orf82,3,0,3
C17orf97,3,0,3
C17orf98,3,4,7
C17orf99,3,0,3
C18orf21,3,0,3
C18orf25,3,0,3
C18orf54,3,0,3
C18orf63,3,0,3
C19orf25,3,0,3
C19orf33,3,0,3
C19orf44,3,0,3
C19orf47,3,4,7
C19orf48,3,0,3
C19orf53,3,0,3
C19orf57,3,0,3
C19orf67,3,0,3
C19orf68,3,0,3
C19orf73,3,0,3
C1GALT1C1,3,0,3
C1orf115,3,0,3
C1orf122,3,84,87
C1orf141,3,0,3
C1orf146,3,0,3
C1orf159,3,0,3
C1orf167,3,0,3
C1orf21,3,0,3
C1orf210,3,0,3
C1orf216,3,0,3
C1orf220,3,0,3
C1orf229,3,0,3
C1orf35,3,0,3
C1orf43,3,0,3
C1orf50,3,0,3
C1orf87,3,0,3
C1orf94,3,0,3
C1QL1,3,0,3
C1QL4,3,0,3
C1QTNF8,3,0,3
C1QTNF9B,3,0,3
C1R,3,0,3
C20orf24,3,0,3
C20orf27,3,0,3
C20orf85,3,11,14
C21orf58,3,0,3
C21orf91,3,0,3
C22orf23,3,0,3
C22orf39,3,0,3
C2CD2,3,0,3
C2CD3,3,0,3
C2CD4A,3,3,6
C2orf27B,3,0,3
C2orf49,3,0,3
C2orf88,3,0,3
C3orf18,3,0,3
C3orf33,3,0,3
C3orf38,3,0,3
C3orf52,3,0,3
C3orf62,3,0,3
C3orf67,3,0,3
C3orf70,3,2,5
C3orf80,3,0,3
C4orf19,3,0,3
C4orf36,3,0,3
C4orf48,3,0,3
C5orf22,3,0,3
C5orf24,3,0,3
C5orf30,3,0,3
C5orf45,3,0,3
C5orf47,3,0,3
C5orf63,3,0,3
C6orf132,3,0,3
C6orf141,3,0,3
C6orf195,3,0,3
C6orf47,3,90,93
C6orf52,3,0,3
C7orf13,3,0,3
C7orf25,3,0,3
C7orf31,3,0,3
C7orf50,3,0,3
C7orf57,3,0,3
C8G,3,1,4
C8orf33,3,0,3
C8orf34,3,0,3
C8orf74,3,0,3
C8orf76,3,0,3
C9orf16,3,0,3
C9orf163,3,0,3
C9orf170,3,0,3
C9orf24,3,0,3
C9orf40,3,0,3
C9orf43,3,0,3
C9orf62,3,63,66
C9orf64,3,0,3
C9orf78,3,0,3
CA13,3,0,3
CA2,3,0,3
CA3,3,5,8
CA4,3,0,3
CA5B,3,0,3
CA6,3,7,10
CA8,3,0,3
CAB39,3,0,3
CAB39L,3,0,3
CABIN1,3,0,3
CABLES1,3,0,3
CABLES2,3,0,3
CABP1,3,0,3
CABP2,3,0,3
CABP4,3,0,3
CABP7,3,0,3
CABYR,3,0,3
CACNA1B,3,0,3
CACNA1C,3,0,3
CACNA1H,3,0,3
CACNA2D2,3,0,3
CACNA2D4,3,0,3
CACNB2,3,0,3
CACNB4,3,0,3
CACNG4,3,0,3
CACNG6,3,0,3
CACTIN,3,0,3
CACUL1,3,0,3
CACYBP,3,0,3
CADM1,3,0,3
CAGE1,3,0,3
CALB1,3,0,3
CALCB,3,0,3
CALCOCO2,3,0,3
CALCR,3,0,3
CALHM2,3,0,3
CALM1,3,0,3
CALN1,3,0,3
CALR3,3,0,3
CALU,3,0,3
CAMK1,3,0,3
CAMK1D,3,0,3
CAMK2B,3,0,3
CAMK2D,3,0,3
CAMK2N1,3,0,3
CAMK4,3,0,3
CAMKK1,3,0,3
CAMKK2,3,0,3
CAMKMT,3,0,3
CAMLG,3,0,3
CAMSAP1,3,0,3
CAMSAP2,3,0,3
CAMSAP3,3,0,3
CAMTA2,3,0,3
CANT1,3,0,3
CAP1,3,0,3
CAP2,3,0,3
CAPG,3,0,3
CAPN1,3,0,3
CAPN10,3,0,3
CAPN15,3,42,45
CAPN2,3,0,3
CAPN5,3,0,3
CAPN7,3,0,3
CAPRIN1,3,95,98
CAPS2,3,0,3
CAPZA2,3,0,3
CAPZB,3,0,3
CARD10,3,0,3
CARD11,3,0,3
CARD14,3,0,3
CARD8,3,0,3
CARF,3,0,3
CARHSP1,3,0,3
CARNS1,3,0,3
CARS2,3,0,3
CASC1,3,0,3
CASC15,3,0,3
CASC2,3,0,3
CASC3,3,0,3
CASD1,3,0,3
CASK,3,0,3
CASKIN2,3,0,3
CASP10,3,0,3
CASP3,3,0,3
CASP6,3,0,3
CASP7,3,0,3
CASP9,3,0,3
CASR,3,0,3
CAT,3,75,78
CATIP,3,0,3
CATSPER2,3,0,3
CATSPER2P1,3,0,3
CATSPERD,3,0,3
CATSPERG,3,3,6
CAV1,3,0,3
CAV2,3,0,3
CAV3,3,0,3
CBFA2T2,3,0,3
CBFA2T3,3,0,3
CBFB,3,0,3
CBLC,3,0,3
CBLN3,3,0,3
CBLN4,3,0,3
CBR3,3,0,3
CBR4,3,0,3
CBS,3,0,3
CBX1,3,0,3
CBX2,3,0,3
CBX3,3,0,3
CBX4,3,0,3
CBX5,3,0,3
CBX6,3,0,3
CBX8,3,7,10
CBY1,3,0,3
CC2D1A,3,0,3
CC2D1B,3,0,3
CC2D2A,3,0,3
CCAR2,3,0,3
CCBE1,3,0,3
CCBL2,3,0,3
CCDC102A,3,0,3
CCDC103,3,0,3
CCDC107,3,0,3
CCDC110,3,0,3
CCDC112,3,0,3
CCDC115,3,0,3
CCDC116,3,0,3
CCDC117,3,0,3
CCDC12,3,0,3
CCDC121,3,0,3
CCDC122,3,0,3
CCDC125,3,0,3
CCDC126,3,0,3
CCDC127,3,0,3
CCDC134,3,0,3
CCDC136,3,0,3
CCDC137,3,0,3
CCDC14,3,0,3
CCDC140,3,0,3
CCDC142,3,0,3
CCDC144NL,3,0,3
CCDC148,3,0,3
CCDC15,3,0,3
CCDC151,3,0,3
CCDC154,3,0,3
CCDC155,3,0,3
CCDC167,3,0,3
CCDC170,3,0,3
CCDC174,3,0,3
CCDC175,3,0,3
CCDC181,3,0,3
CCDC185,3,0,3
CCDC186,3,0,3
CCDC22,3,0,3
CCDC24,3,0,3
CCDC25,3,0,3
CCDC28A,3,0,3
CCDC34,3,0,3
CCDC36,3,0,3
CCDC38,3,0,3
CCDC42,3,0,3
CCDC51,3,0,3
CCDC57,3,68,71
CCDC6,3,0,3
CCDC60,3,0,3
CCDC61,3,0,3
CCDC62,3,0,3
CCDC63,3,0,3
CCDC64,3,0,3
CCDC65,3,0,3
CCDC68,3,0,3
CCDC69,3,0,3
CCDC7,3,0,3
CCDC71,3,0,3
CCDC74A,3,0,3
CCDC74B,3,0,3
CCDC78,3,0,3
CCDC81,3,0,3
CCDC83,3,0,3
CCDC85A,3,0,3
CCDC85C,3,0,3
CCDC87,3,0,3
CCDC9,3,0,3
CCDC93,3,0,3
CCDC97,3,0,3
CCER1,3,0,3
CCHCR1,3,0,3
CCKAR,3,0,3
CCM2,3,0,3
CCNB1,3,0,3
CCNB2,3,0,3
CCNC,3,0,3
CCND1,3,0,3
CCND3,3,0,3
CCNE2,3,0,3
CCNG1,3,0,3
CCNI2,3,0,3
CCNJL,3,0,3
CCNK,3,0,3
CCNL1,3,0,3
CCNL2,3,0,3
CCNO,3,0,3
CCNT1,3,48,51
CCNT2,3,0,3
CCNYL1,3,0,3
CCP110,3,0,3
CCPG1,3,0,3
CCRL2,3,0,3
CCS,3,0,3
CCSAP,3,0,3
CCSER1,3,0,3
CCSER2,3,0,3
CCT2,3,0,3
CCT3,3,0,3
CCT4,3,0,3
CCT6A,3,0,3
CCT6B,3,0,3
CCT7,3,164,167
