gene,r_spearman
MRPL20,-0.05966097188891614
ATP13A2,-0.0897085093998524
MRPL23,-0.06387295190872436
RBM14,0.15250923426350424
TSLP,-0.05021442458283855
EMID1,-0.0573394722354171
LL22NC03-63E9.3,-0.054493895050762645
FUT2,-0.22151492765248637
KLHL20,-0.13070270325661315
SREK1,0.04480973020795251
TTBK2,-0.030466548157051212
PIK3CD,-0.43409764368645
HS3ST4,-0.06015702740569421
RPL24,-0.138840259979798
LRRFIP1,0.025102539201719582
RHBDD1,-0.004105459249750735
CNTN1,-0.07743566125449029
IFT57,0.026445490295439925
LRPAP1,-0.03174297186117107
KAT8,0.09803328938274544
ZNF48,-0.014632686375595718
SCO1,-0.06588530373054675
SEMA6A,-0.1422906022458132
TSNAXIP1,-0.012979618638860935
ARL10,-0.08678989664331896
PHOSPHO2,-0.03190816503423388
RNF213,0.0527899173910045
LINC01257,0.020486359603376515
PCGF5,-0.03664864396715918
SLC7A1,0.03602410943917811
GJB1,0.11710467704045358
S100A6,-0.10084411470622973
ACOT7,-0.017619716207775863
ITPKC,0.009209647375694501
RASSF1,0.016303781962512958
ELAC1,-0.049919516259838724
CENPJ,-0.0016254655925403943
COL9A3,-0.11328158545966373
WDHD1,-0.014493062481298837
NXPH3,-0.053118104680191035
CASP3,0.011067397266398707
MED26,0.02946278792349775
CBX8,0.014005609383209862
GON4L,0.09982522633507981
CLIC5,0.02246920882693625
UBA5,-0.07879610598061014
CHTF18,0.14069515811294603
ZNF597,-0.3117682662730209
TARS2,0.003171177808000392
ANKRD19P,0.01560010460176264
KHDRBS3,-0.0225512619111393
C8orf74,0.04262519257871351
IQSEC2,0.001058095234627345
ZKSCAN5,0.10211020821973953
SNX27,0.02476150470927715
ACAD11,0.06064703823781575
MYO3A,-0.08728624528887585
TGFB3,-0.0035317251760622736
TRAPPC6B,-0.0033798895791873175
ZNF436,-0.005126986620500286
CACNA1H,-0.27626501346165633
N4BP1,0.09563367796983688
CLIP1,0.0026919508968440975
IL15RA,0.013250985628683435
YEATS2,0.055218950126933355
TMEM53,-0.014538917097506822
PHEX,0.12813663957624297
FBXW11,-0.026358536423211742
C9orf40,-0.017995104360034344
MGAT5B,-0.02498399561915889
RFC4,-0.08019872437832762
KLF11,-0.009793830168183991
UBAC2,-0.02527866200299195
TMEM80,0.0412304712965347
CAMK2D,-0.23167972592792938
CNIH2,-0.04488275694231571
TOB1,0.05541087479915954
OARD1,-0.0026688397273856414
PGBD1,-0.14767795857483015
BRSK1,0.010454799035810322
DNAI1,0.013793057645290747
NCOA4,-0.017404810411834826
LRSAM1,0.053454305598015915
SETD3,0.031719032733241434
MTMR4,0.07144505554004173
CLIP2,0.07915268802915058
LDHAL6A,0.0688444623687952
AK9,0.006409096901498287
FEV,0.019423294343450036
ZBTB21,-0.054738440829106845
ZBTB48,0.015160105071271772
FOXN4,-0.00270146189198861
MZF1,0.08618389121405248
GPATCH3,-0.0017941965787515652
PCSK6,-0.2388667417901543
SEC14L4,-0.10674873265988312
DDX27,-0.026047945227313785
RPAP1,-0.0013543318792862157
PCCB,-0.01857623830002245
