tf,target,importance,weight
SPATS2L,ABCC6,0.09963608533143997,-0.09963608533143997
SYPL1,ABCC8,0.1259004771709442,-0.1259004771709442
SNX3,ABCC8,0.099831223487854,-0.099831223487854
XRCC5,ABCC8,0.09942380338907242,0.09942380338907242
MECP2,ABCD1,0.1376362293958664,0.1376362293958664
RPS27A,ABCD1,0.11283771693706512,-0.11283771693706512
SLC25A5,ABCD1,0.10692334920167923,0.10692334920167923
ANKFY1,ABCD2,0.13396723568439484,-0.13396723568439484
FAM193B,ABCD2,0.12585854530334473,0.12585854530334473
LSM3,ABCD2,0.12016206979751587,-0.12016206979751587
C9orf62,ABCD4,0.13001568615436554,0.13001568615436554
PDZD11,ABCD4,0.10829783976078033,0.10829783976078033
ATG10,ABCD4,0.09339147061109543,0.09339147061109543
WDR53,ABCF3,0.19712594151496887,0.19712594151496887
UBTF,ABCF3,0.18470728397369385,0.18470728397369385
NDUFB5,ABCF3,0.18211808800697327,0.18211808800697327
